user,text,time
@lesbeyonsay,"beyonce would do something with art since she's already a painter, rihanna would still be a business woman, taylor would be an english professor or linguist of some sorts, i dont see ariana working as anything other than a starbucks barista",2024-05-11T11:10:11.000Z
@HopeDealer__,Starbucks isn’t good enough to break a boycott for. I could list 40 coffee shops that serve better water than they do. Like please…,2024-05-08T05:55:20.000Z
@YourLadRobin,"What we're witnessing is the fucking holocaust in 2024 Zionists always play the victim and support this shit ""B-but what about my McDonald's Taylor swift and Starbucks!!!"" Shut the fuck up and learn that INNOCENT lives are on the line",2024-05-11T06:51:10.000Z
@scythegenderr,starbucks tryna get the boba girlies to stop boycotting them when real bitches go to gong cha!,2024-05-10T06:31:12.000Z
@lesbeyonsay,"beyonce would do something with art since she's already a painter, rihanna would still be a business woman, taylor would be an english professor or linguist of some sorts, i dont see ariana working as anything other than a starbucks barista",2024-05-11T11:10:11.000Z
@HopeDealer__,Starbucks isn’t good enough to break a boycott for. I could list 40 coffee shops that serve better water than they do. Like please…,2024-05-08T05:55:20.000Z
@YourLadRobin,"What we're witnessing is the fucking holocaust in 2024 Zionists always play the victim and support this shit ""B-but what about my McDonald's Taylor swift and Starbucks!!!"" Shut the fuck up and learn that INNOCENT lives are on the line",2024-05-11T06:51:10.000Z
@scythegenderr,starbucks tryna get the boba girlies to stop boycotting them when real bitches go to gong cha!,2024-05-10T06:31:12.000Z
@lesbeyonsay,"beyonce would do something with art since she's already a painter, rihanna would still be a business woman, taylor would be an english professor or linguist of some sorts, i dont see ariana working as anything other than a starbucks barista",2024-05-11T11:10:11.000Z
@HopeDealer__,Starbucks isn’t good enough to break a boycott for. I could list 40 coffee shops that serve better water than they do. Like please…,2024-05-08T05:55:20.000Z
@YourLadRobin,"What we're witnessing is the fucking holocaust in 2024 Zionists always play the victim and support this shit ""B-but what about my McDonald's Taylor swift and Starbucks!!!"" Shut the fuck up and learn that INNOCENT lives are on the line",2024-05-11T06:51:10.000Z
@scythegenderr,starbucks tryna get the boba girlies to stop boycotting them when real bitches go to gong cha!,2024-05-10T06:31:12.000Z
@lesbeyonsay,"beyonce would do something with art since she's already a painter, rihanna would still be a business woman, taylor would be an english professor or linguist of some sorts, i dont see ariana working as anything other than a starbucks barista",2024-05-11T11:10:11.000Z
@HopeDealer__,Starbucks isn’t good enough to break a boycott for. I could list 40 coffee shops that serve better water than they do. Like please…,2024-05-08T05:55:20.000Z
@YourLadRobin,"What we're witnessing is the fucking holocaust in 2024 Zionists always play the victim and support this shit ""B-but what about my McDonald's Taylor swift and Starbucks!!!"" Shut the fuck up and learn that INNOCENT lives are on the line",2024-05-11T06:51:10.000Z
@scythegenderr,starbucks tryna get the boba girlies to stop boycotting them when real bitches go to gong cha!,2024-05-10T06:31:12.000Z
@lesbeyonsay,"beyonce would do something with art since she's already a painter, rihanna would still be a business woman, taylor would be an english professor or linguist of some sorts, i dont see ariana working as anything other than a starbucks barista",2024-05-11T11:10:11.000Z
